"","Hot To-Go Cups","Cold To-Go Cups","Plastic Bags","Paper Bags","Black Plastic Containers","Other Colour Plastic Containers","Disposable Cutlery","Plastic Straws","Styrofoam Containers"
"781","A couple times a month","Never","Every day or almost every day","A couple times a week","Never","Never","Never","A couple times a week","A couple times a year or less"
"782","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a month"
"783","A couple times a week","Never","Every day or almost every day","A couple times a week","A couple times a week","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"784","A couple times a year or less","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"785","A couple times a week","Never","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","Never","A couple times a month"
"786","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month"
"787","A couple times a month","A couple times a week","A couple times a month","Never","A couple times a month","A couple times a week","A couple times a year or less","A couple times a week","Never"
"788","A couple times a week","A couple times a week","A couple times a month","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"789","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"790","A couple times a month","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"791","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","Never","A couple times a month","Never","Never","A couple times a month"
"792","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"793","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"794","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month"
"795","A couple times a month","A couple times a week","A couple times a month","A couple times a year or less","Every day or almost every day","Never","A couple times a month","A couple times a month","A couple times a year or less"
"796","Every day or almost every day","A couple times a month","Every day or almost every day","Never","Never","A couple times a week","A couple times a month","A couple times a year or less","A couple times a year or less"
"797","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less","Every day or almost every day","Every day or almost every day","A couple times a week","Never"
"798","A couple times a week","A couple times a week","A couple times a month","Never","Never","A couple times a week","Never","A couple times a month","Never"
"799","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a year or less","A couple times a week","A couple times a week","A couple times a week","A couple times a month"
"800","A couple times a month","Never","A couple times a week","A couple times a year or less","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"801","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a week","A couple times a month"
"802","A couple times a week","A couple times a year or less","Every day or almost every day","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"803","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never"
"804","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a month"
"805","A couple times a week","A couple times a year or less","A couple times a month","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month"
"806","A couple times a week","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month"
"807","A couple times a week","A couple times a month","Every day or almost every day","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a week"
"808","A couple times a month","Never","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","Never","A couple times a month"
"809","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a week","Every day or almost every day","A couple times a year or less","A couple times a month","A couple times a month"
"810","Every day or almost every day","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a month"
"811","Every day or almost every day","Every day or almost every day","A couple times a month","A couple times a month","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week"
"812","Never","A couple times a year or less","A couple times a month","A couple times a year or less","Never","Never","Never","Never","Never"
"813","Every day or almost every day","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a week"
"814","A couple times a week","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less"
"815","A couple times a year or less","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less"
"816","A couple times a month","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a month","Every day or almost every day","A couple times a week","A couple times a month","A couple times a month"
"817","Never","Never","Never","Never","Never","Never","Never","A couple times a year or less","Never"
"818","Never","Never","A couple times a week","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","Never","A couple times a week"
"819","Every day or almost every day","A couple times a week","A couple times a week","A couple times a year or less","A couple times a week","A couple times a week","Every day or almost every day","Every day or almost every day","Never"
"820","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less"
"821","A couple times a week","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a month","A couple times a week","Never","Never"
"822","Never","A couple times a year or less","A couple times a week","A couple times a week","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"823","A couple times a week","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a month","A couple times a week","Never","Never","A couple times a month"
"824","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month"
"825","A couple times a year or less","A couple times a year or less","A couple times a month","Never","Never","Never","Never","A couple times a year or less","Never"
"826","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month"
"827","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","Every day or almost every day","Every day or almost every day"
"828","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month"
"829","Never","Every day or almost every day","A couple times a week","A couple times a week","Never","A couple times a year or less","A couple times a month","A couple times a month","A couple times a week"
"830","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a month","Every day or almost every day","A couple times a year or less","A couple times a month"
"831","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"832","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less","Never","A couple times a week","Never","A couple times a month","A couple times a month"
"833","A couple times a year or less","Never","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"834","A couple times a week","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"835","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a month","A couple times a month","A couple times a month","Every day or almost every day","Every day or almost every day","A couple times a month"
"836","A couple times a week","A couple times a month","Every day or almost every day","A couple times a week","Never","Never","Never","A couple times a month","Never"
"837","A couple times a week","A couple times a year or less","Every day or almost every day","A couple times a month","A couple times a month","Every day or almost every day","A couple times a year or less","A couple times a month","A couple times a week"
"838","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a week"
"839","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less","Every day or almost every day","A couple times a month"
"840","A couple times a week","A couple times a week","A couple times a month","Every day or almost every day","A couple times a month","Every day or almost every day","A couple times a week","Every day or almost every day","A couple times a week"
"841","Never","Never","A couple times a week","A couple times a year or less","Never","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less"
"842","Never","A couple times a year or less","A couple times a week","A couple times a month","Never","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a week"
"843","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a month"
"844","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"845","A couple times a week","A couple times a month","A couple times a year or less","Never","Never","Never","A couple times a week","Never","Never"
"846","A couple times a week","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"847","A couple times a year or less","Never","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"848","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a year or less","Never","A couple times a month"
"849","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"850","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a month"
"851","A couple times a year or less","A couple times a year or less","A couple times a week","Never","Never","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"852","A couple times a week","A couple times a month","A couple times a month","Never","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a month"
"853","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"854","Never","A couple times a week","Every day or almost every day","A couple times a week","Never","Every day or almost every day","A couple times a week","Never","Never"
"855","A couple times a month","Never","A couple times a month","A couple times a month","Never","Never","Never","Never","Never"
"856","A couple times a week","Never","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a week"
"857","A couple times a week","A couple times a week","A couple times a week","Never","Never","A couple times a week","A couple times a year or less","A couple times a week","A couple times a month"
"858","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week"
"859","A couple times a month","A couple times a week","A couple times a month","A couple times a year or less","Never","A couple times a year or less","A couple times a month","A couple times a week","A couple times a month"
"860","A couple times a month","Never","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"861","A couple times a month","A couple times a week","A couple times a week","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"862","A couple times a month","Never","A couple times a week","A couple times a month","A couple times a week","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"863","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a week","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a week"
"864","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","Never"
"865","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","Never","Never"
"866","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a week","A couple times a week"
"867","Every day or almost every day","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month"
"868","A couple times a month","A couple times a year or less","Every day or almost every day","A couple times a year or less","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month"
"869","Never","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month"
"870","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","Never","A couple times a month","A couple times a month"
"871","A couple times a year or less","Never","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month"
"872","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","Never","A couple times a year or less"
"873","A couple times a year or less","A couple times a week","A couple times a month","A couple times a week","A couple times a month","Every day or almost every day","A couple times a year or less","Never","Never"
"874","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","Never","Never","A couple times a year or less","A couple times a week","A couple times a year or less"
"875","A couple times a week","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","Never","A couple times a year or less"
"876","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month"
"877","Never","A couple times a year or less","A couple times a month","Never","Never","A couple times a year or less","A couple times a year or less","Never","Never"
"878","Every day or almost every day","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","Never"
"879","A couple times a week","A couple times a month","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month"
"880","Every day or almost every day","Never","A couple times a week","A couple times a week","Never","A couple times a week","A couple times a week","Never","Never"
"881","A couple times a year or less","Never","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a year or less"
"882","A couple times a week","Every day or almost every day","A couple times a week","A couple times a month","A couple times a week","Every day or almost every day","A couple times a week","A couple times a year or less","A couple times a week"
"883","Never","Never","Every day or almost every day","A couple times a week","Never","Every day or almost every day","Every day or almost every day","Every day or almost every day","Never"
"884","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less","Never","A couple times a month","Every day or almost every day","A couple times a month","A couple times a year or less"
"885","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a month"
"886","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a month","Every day or almost every day","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week"
"887","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a month","Every day or almost every day","A couple times a week","A couple times a month","A couple times a month"
"888","A couple times a year or less","A couple times a week","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a month"
"889","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"890","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never"
"891","Every day or almost every day","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"892","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a year or less","A couple times a month","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a week"
"893","Never","Never","A couple times a year or less","Never","Never","Never","Never","A couple times a year or less","Never"
"894","A couple times a month","A couple times a year or less","A couple times a month","Never","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month"
"895","Every day or almost every day","Never","Every day or almost every day","A couple times a year or less","A couple times a week","A couple times a year or less","Never","A couple times a month","A couple times a month"
"896","Every day or almost every day","Never","A couple times a week","Never","A couple times a year or less","Never","A couple times a year or less","A couple times a month","A couple times a month"
"897","A couple times a week","Every day or almost every day","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a week"
"898","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a month"
"899","Never","Never","A couple times a week","Never","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never"
"900","A couple times a week","A couple times a year or less","A couple times a month","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less"
"901","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day"
"902","A couple times a week","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"903","A couple times a month","Never","A couple times a month","A couple times a year or less","A couple times a month","A couple times a week","A couple times a month","Never","Never"
"904","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","Never","A couple times a week"
"905","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month"
"906","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a week","A couple times a week","A couple times a month","Never","A couple times a month"
"907","Never","Never","A couple times a week","A couple times a month","A couple times a week","A couple times a month","Never","Never","A couple times a month"
"908","A couple times a week","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less"
"909","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less"
"910","Every day or almost every day","A couple times a month","A couple times a week","A couple times a year or less","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"911","A couple times a week","Every day or almost every day","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a month"
"912","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a month","Every day or almost every day","A couple times a month","Every day or almost every day","A couple times a month"
"913","Every day or almost every day","Never","A couple times a week","A couple times a week","A couple times a week","A couple times a week","Never","A couple times a month","A couple times a year or less"
"914","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month"
"915","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month"
"916","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a week","A couple times a month","Every day or almost every day","A couple times a month"
"917","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a week"
"918","A couple times a month","Never","Every day or almost every day","Never","Never","A couple times a month","Never","Never","Never"
"919","A couple times a week","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month"
"920","Never","A couple times a year or less","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less"
"921","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"922","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a week","A couple times a month"
"923","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month"
"924","A couple times a month","A couple times a month","A couple times a month","Every day or almost every day","A couple times a month","Every day or almost every day","Never","A couple times a month","A couple times a month"
"925","A couple times a week","A couple times a year or less","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month"
"926","Every day or almost every day","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a week"
"927","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day"
"928","A couple times a month","Never","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","Never"
"929","Every day or almost every day","A couple times a week","Every day or almost every day","A couple times a week","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a week"
"930","Every day or almost every day","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"931","A couple times a week","Never","A couple times a week","A couple times a month","Never","A couple times a month","Never","Never","A couple times a year or less"
"932","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week"
"933","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a month"
"934","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","Never","Never"
"935","Every day or almost every day","A couple times a year or less","Every day or almost every day","A couple times a year or less","A couple times a month","Every day or almost every day","A couple times a week","A couple times a month","A couple times a week"
"936","Every day or almost every day","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a week"
"937","A couple times a month","A couple times a month","Every day or almost every day","A couple times a week","Every day or almost every day","A couple times a week","A couple times a month","Every day or almost every day","A couple times a week"
"938","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month"
"939","A couple times a week","Never","A couple times a week","A couple times a month","Never","Every day or almost every day","A couple times a month","A couple times a week","A couple times a month"
"940","A couple times a month","A couple times a month","A couple times a week","Never","Never","Never","A couple times a year or less","A couple times a week","A couple times a year or less"
"941","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"942","Never","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less"
"943","A couple times a month","A couple times a year or less","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"944","A couple times a week","Never","Every day or almost every day","Never","Never","Never","A couple times a year or less","A couple times a week","Never"
"945","Every day or almost every day","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"946","A couple times a month","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month"
"947","A couple times a week","A couple times a month","Every day or almost every day","A couple times a week","Every day or almost every day","A couple times a week","A couple times a week","Every day or almost every day","A couple times a month"
"948","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less","Never"
"949","A couple times a week","A couple times a year or less","A couple times a month","A couple times a year or less","Never","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less"
"950","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"951","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","Never","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less"
"952","A couple times a week","A couple times a month","Every day or almost every day","A couple times a year or less","A couple times a week","A couple times a year or less","Never","A couple times a month","A couple times a month"
"953","Every day or almost every day","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"954","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month","Never","Never","A couple times a year or less","A couple times a year or less","Never"
"955","A couple times a week","Every day or almost every day","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","Never","Never"
"956","A couple times a year or less","A couple times a month","A couple times a week","A couple times a month","Never","Never","A couple times a month","A couple times a month","A couple times a week"
"957","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"958","A couple times a week","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a month"
"959","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less"
"960","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month"
"961","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"962","A couple times a week","A couple times a week","A couple times a month","Never","Never","A couple times a year or less","A couple times a month","Every day or almost every day","Never"
"963","Every day or almost every day","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","Every day or almost every day","A couple times a week","A couple times a month"
"964","Every day or almost every day","Never","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","Never","Never"
"965","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less"
"966","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month","A couple times a week","Never","Never","A couple times a month"
"967","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","Never"
"968","Never","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","Never","A couple times a year or less"
"969","A couple times a week","A couple times a year or less","Every day or almost every day","A couple times a year or less","Never","A couple times a month","A couple times a month","A couple times a month","Never"
"970","A couple times a week","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a year or less","Never","Never","A couple times a year or less"
"971","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less","Never","A couple times a year or less","Never"
"972","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"973","A couple times a week","A couple times a month","Every day or almost every day","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less"
"974","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less"
"975","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","Never","A couple times a month"
"976","Every day or almost every day","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a week","Every day or almost every day","A couple times a month","A couple times a year or less","A couple times a month"
"977","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"978","A couple times a week","Never","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month","Never","Never","A couple times a year or less"
