"","Hot To-Go Cups","Cold To-Go Cups","Plastic Bags","Paper Bags","Black Plastic Containers","Other Colour Plastic Containers","Disposable Cutlery","Plastic Straws","Styrofoam Containers"
"213","A couple times a year or less","Never","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","Never","A couple times a year or less"
"214","A couple times a month","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month","A couple times a month"
"215","A couple times a week","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month"
"216","Every day or almost every day","A couple times a week","Every day or almost every day","A couple times a week","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a week"
"217","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month"
"218","A couple times a week","Never","A couple times a year or less","Never","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month"
"219","A couple times a week","Never","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a week","Never","Never","Never"
"220","A couple times a month","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"221","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","Never","Never","A couple times a year or less"
"222","A couple times a month","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","Never","A couple times a month"
"223","Never","A couple times a year or less","A couple times a week","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month"
"224","A couple times a week","A couple times a month","A couple times a year or less","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"225","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"226","A couple times a month","Never","Never","A couple times a month","Never","Every day or almost every day","Never","Never","Never"
"227","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less"
"228","A couple times a week","A couple times a week","A couple times a week","Never","A couple times a week","A couple times a week","Never","Never","Never"
"229","Never","Never","Never","Never","A couple times a year or less","A couple times a month","Never","Never","Never"
"230","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a month"
"231","A couple times a month","A couple times a month","A couple times a week","Never","Never","A couple times a year or less","A couple times a year or less","A couple times a month","Never"
"232","A couple times a month","A couple times a month","A couple times a week","Never","Never","A couple times a month","A couple times a week","A couple times a week","A couple times a week"
"233","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"234","A couple times a week","A couple times a month","A couple times a week","Never","Never","A couple times a week","A couple times a week","A couple times a week","A couple times a week"
"235","A couple times a week","Never","A couple times a year or less","Never","A couple times a month","A couple times a week","A couple times a week","A couple times a month","Never"
"236","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a month"
"237","A couple times a year or less","Never","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","Never","A couple times a year or less"
"238","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"239","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a week"
"240","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less"
"241","A couple times a week","A couple times a year or less","Every day or almost every day","Never","Never","A couple times a week","A couple times a year or less","A couple times a month","Never"
"242","Every day or almost every day","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less"
"243","A couple times a week","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a week","Every day or almost every day","A couple times a month"
"244","A couple times a week","A couple times a week","A couple times a month","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less"
"245","A couple times a year or less","Never","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a year or less"
